Si pudieras ser cualquier cosa cuando crezcas, ¿qué serías y por qué? | If you could be anything when you grow up, what would you be and why?
¿Qué es lo que más te gustaría aprender a hacer? | What would you most like to learn to do?
¿Cuál es tu mayor sueño? | What is your biggest dream?
Si pudieras viajar a cualquier lugar del mundo, ¿a dónde irías y por qué? | If you could travel anywhere in the world, where would you go and why?
¿Qué superhéroe te gustaría ser y qué harías con tus poderes? | Which superhero would you like to be and what would you do with your powers?
Si pudieras ser cualquier cosa cuando crezcas, ¿qué serías y por qué? | If you could be anything when you grow up, what would you be and why?
¿Qué es lo que más te gustaría aprender a hacer? | What would you most like to learn to do?
¿Cuál es tu mayor sueño? | What is your biggest dream?
Si pudieras viajar a cualquier lugar del mundo, ¿a dónde irías y por qué? | If you could travel anywhere in the world, where would you go and why?
¿Qué superhéroe te gustaría ser y qué harías con tus poderes? | Which superhero would you like to be and what would you do with your powers?
¿Cuál es tu profesión ideal y qué te atrae de ella? | What is your ideal profession and what attracts you to it?
Si pudieras hacer una contribución significativa al mundo, ¿qué problema resolverías y cómo lo abordarías? | If you could make a significant contribution to the world, what problem would you solve and how would you address it?
¿Qué habilidad o talento te gustaría desarrollar al máximo en tu vida? | What skill or talent would you like to develop to its fullest potential in your life?
¿Cuál es tu meta más importante a corto plazo y qué pasos estás tomando para alcanzarla? | What is your most important short-term goal and what steps are you taking to achieve it?
Si tuvieras la oportunidad de realizar un cambio positivo en tu comunidad, ¿qué iniciativa empezarías y por qué? | If you had the chance to make a positive change in your community, what initiative would you start and why?
¿Cuál es tu sueño de aventura más emocionante y cómo te prepararías para ello? | What is your most thrilling adventure dream and how would you prepare for it?
Si pudieras tener una conversación con cualquier persona histórica o contemporánea, ¿quién sería y qué le preguntarías? | If you could have a conversation with any historical or contemporary person, who would it be and what would you ask them?
¿Qué habilidad te gustaría dominar completamente en el ámbito deportivo y por qué te apasiona tanto? | What skill would you like to master completely in the realm of sports and why does it passionately interest you?
Si pudieras diseñar y construir algo innovador, ¿qué sería y cómo beneficiaría a las personas? | If you could design and build something innovative, what would it be and how would it benefit people?
¿Qué te gustaría lograr en tu vida personal y por qué es importante para ti? | What would you like to achieve in your personal life and why is it important to you?
